community	parCol	i	j	Niche_i	Niche_j	pctGrass_i	pctGrass_j	BM_i	BM_j	Rmax_i	Rmax_j	d13Cmean_i	d13Cmean_j	d13Csd_i	d13Csd_j	d15Nmean_i	d15Nmean_j	d15Nsd_i	d15Nsd_j	SEAi_mean	SEAj_mean	SEA_p_ilarger	SEA_p_jlarger	isunique	O	Oij	rho	Olap
Kruger_NB_2005_1	6	Connochaetes_taurinus	Giraffa_camelopardalis	GR	BR	87.5	0.9	180	900	0.3073	0.1751	-15.1738	-26.0833	0.7333	0.5462	7.0488	4.27	1.847	0.7398	3.754	1.4371	0.9725	0.0275	1	0	0	0	0
Kruger_NB_2005_1	7	Connochaetes_taurinus	Syncerus_caffer	GR	GR	87.5	90	180	580	0.3073	0.1647	-15.1738	-15.32	0.7333	0.7822	7.0488	5.5633	1.847	0.4969	3.754	1.1136	0.99	0.01	1	0.1895	0.213	0.3753	0.775450360867651
Kruger_NB_2005_1	8	Equus_quagga	Giraffa_camelopardalis	GR	BR	90	0.9	276	900	0.1853	0.1751	-15.375	-26.0833	1.474	0.5462	5.341	4.27	0.9075	0.7398	4.6329	1.4371	0.9958	0.0042	1	0	0	0	0
Kruger_NB_2005_1	9	Equus_quagga	Syncerus_caffer	GR	GR	90	90	276	580	0.1853	0.1647	-15.375	-15.32	1.474	0.7822	5.341	5.5633	0.9075	0.4969	4.6329	1.1136	0.9983	0.0018	1	0.2338	0.2403	0.4635	1.0887836837776
Kruger_NB_2005_1	10	Giraffa_camelopardalis	Syncerus_caffer	BR	GR	0.9	90	900	580	0.1751	0.1647	-26.0833	-15.32	0.5462	0.7822	4.27	5.5633	0.7398	0.4969	1.4371	1.1136	0.7018	0.2983	1	0	0	0	0
Kruger_NB_2005_2	2	Aepyceros_melampus	Equus_quagga	IM	GR	60	90	52.5	276	0.3086	0.1853	-15.926	-14.02	1.552	0.8912	6.651	4.542	2.0222	0.8271	9.9151	2.4962	0.9988	0.0012	1	0.2001	0.2118	0.413	2.06901708363864
Kruger_NB_2005_2	3	Aepyceros_melampus	Giraffa_camelopardalis	IM	BR	60	0.9	52.5	900	0.3086	0.1751	-15.926	-25.789	1.552	0.7009	6.651	5.852	2.0222	0.7816	9.9151	1.7294	1	0	1	0	0	0	0
Kruger_NB_2005_2	4	Aepyceros_melampus	Syncerus_caffer	IM	GR	60	90	52.5	580	0.3086	0.1647	-15.926	-13.211	1.552	1.0158	6.651	4.884	2.0222	0.7245	9.9151	1.9089	0.9998	0.0002	1	0.1412	0.1523	0.3224	1.46284689450445
Kruger_NB_2005_2	8	Equus_quagga	Giraffa_camelopardalis	GR	BR	90	0.9	276	900	0.1853	0.1751	-14.02	-25.789	0.8912	0.7009	4.542	5.852	0.8271	0.7816	2.4962	1.7294	0.7788	0.2213	1	0	0	0	0
Kruger_NB_2005_2	9	Equus_quagga	Syncerus_caffer	GR	GR	90	90	276	580	0.1853	0.1647	-14.02	-13.211	0.8912	1.0158	4.542	4.884	0.8271	0.7245	2.4962	1.9089	0.719	0.281	1	0.3826	0.5196	0.5591	1.21894355799382
